No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1522	Nickel(II) chloride	NiCl2	7718-54-9	129.598	yel hex cry; hyg	1009 tp	985 sp	3.51	67.525	s EtOH	
1523	Nickel(II) chloride hexahydrate	NiCl2  6H2O	7791-20-0	237.689	grn monocl cry				67.525	s EtOH	
1524	Nickel(II) cyanide tetrahydrate	Ni(CN)2  4H2O	13477-95-7	182.789	grn plates	200 dec				i H2O; sl dil acid; s NH 4OH	
1525	Nickel(II) fluoride	NiF2	10028-18-9	96.69	yel tetr cry	1474		4.7	2.5625	i EtOH, eth	
1526	Nickel(II) hydroxide	Ni(OH)2	12054-48-7	92.708	grn hex cry	230 dec		4.1	0.000152		
1527	Nickel(II) hydroxide monohydrate	Ni(OH)2  H2O	36897-37-7	110.723	grn powder				0.000152	s dil acid	
1528	Nickel(II) iodate	Ni(IO3)2	13477-98-0	408.498	yel needles			5.07	1.13		
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1529	Nickel(II) iodide	NiI2	13462-90-3	312.502	blk hex cry; hyg	780	subl	5.22	15425		
1530	Nickel(II) iodide hexahydrate	NiI2  6H2O	7790-34-3	420.593	grn monocl cry; hyg				15425	vs EtOH	
1531	Nickel(II) nitrate	Ni(NO3)2	13138-45-9	182.702	grn cry				99.225	s EtOH	
1532	Nickel(II) nitrate hexahydrate	Ni(NO3)2  6H2O	13478-00-7	290.794	grn monocl cry; hyg	56 dec		2.05	99.225	s EtOH	
1533	Nickel(II) oxide	NiO	1313-99-1	74.692	grn cub cry	1955		6.72		i H2O; s acid	
1534	Nickel(II) selenide	NiSe	1314-05-2	137.65	yel-grn hex cry	980		7.2			
1535	Nickel(II) sulfate	NiSO4	7786-81-4	154.757	grn-yel orth cry	840 dec		4.01	40.425		
1536	Nickel(II) sulfate heptahydrate	NiSO4  7H2O	10101-98-1	280.863	grn orth cry			1.98	40.425	s EtOH	
1537	Nickel(II) sulfate hexahydrate	NiSO4  6H2O	10101-97-0	262.848	blue-grn tetr cry	100 dec		2.07	40.425	sl EtOH	
1538	Nickel(II) sulfide	NiS	16812-54-7	90.759	yel hex cry	976		5.5		i H2O	
1539	Nickel(II) thiocyanate	Ni(SCN)2	13689-92-4	174.859	grn pwd				55.025		
1540	Nickel(II) titanate	NiTiO3	12035-39-1	154.558	brn hex cry			5			
1541	Nickel(II,III) sulfide	Ni3S4	12137-12-1	304.344	cub cry	995		4.77			
1542	Nickel(III) oxide	Ni2O3	1314-06-3	165.385	gray-blk cub cry	600 dec				i H2O; s hot acid	
1543	Nickel(III) sulfide	Ni3S2	12035-72-2	240.212	hex cry	787		5.87			
1544	Niobium	Nb	7440-03-1	92.906	gray metal; cub	2477	4744	8.57		i acid	
1545	Niobium boride	NbB	12045-19-1	103.717	gray orth cry	2270		7.5			
1546	Niobium boride	NbB2	12007-29-3	114.528	gray hex cry	3050		6.97			
1547	Niobium carbide	NbC	12069-94-2	104.917	gray cub cry	3608	4300	7.82		i H2O, acid	
1548	Niobium carbide	Nb2C	12011-99-3	197.824	refrac hex cry	3080		7.8		i H2O	
1549	Niobium nitride	NbN	24621-21-4	106.913	gray cry; cub	2300		8.47		i HCl, acid	
1550	Niobium phosphide	NbP	12034-66-1	123.88	tetr cry			6.5			
1551	Niobium silicide	NbSi2	12034-80-9	149.077	gray hex cry	1950		5.7			
1552	Niobium(II) oxide	NbO	12034-57-0	108.905	gray cub cry	1936		7.3			
1553	Niobium(III) bromide	NbBr3	15752-41-7	332.618	dark brn solid		subl				
1554	Niobium(III) chloride	NbCl3	13569-59-0	199.264	blk solid						
1555	Niobium(III) fluoride	NbF3	15195-53-6	149.901	blue cub cry			4.2			
1556	Niobium(IV) chloride	NbCl4	13569-70-5	234.717	viol-blk monocl cry		275 subl	3.2			
1557	Niobium(IV) fluoride	NbF4	13842-88-1	168.9	blk tetr cry; hyg	>350 dec		4.01			
1558	Niobium(IV) iodide	NbI4	13870-21-8	600.524	gray orth cry	503		5.6			
1559	Niobium(IV) oxide	NbO2	12034-59-2	124.905	wh tetr cry or powder	1901		5.9			
1560	Niobium(IV) selenide	NbSe2	12034-77-4	250.83	gray hex cry	>1300		6.3			
1561	Niobium(IV) sulfide	NbS2	12136-97-9	157.038	blk rhomb cry			4.4			
1562	Niobium(IV) telluride	NbTe2	12034-83-2	348.11	hex cry			7.6			
1563	Niobium(V) bromide	NbBr5	13478-45-0	492.426	oran orth cry	254	360	4.36		s H2O, EtOH	
1564	Niobium(V) chloride	NbCl5	10026-12-7	270.17	yel monocl cry; hyg	204.7	254	2.78		reac H2O; s HCl, ctc	
1565	Niobium(V) fluoride	NbF5	7783-68-8	187.898	col monocl cry; hyg	80	229	2.7		reac H2O; sl CS2, chl	
1566	Niobium(V) iodide	NbI5	13779-92-5	727.428	yel-blk monocl cry	200 dec		5.32			
1567	Niobium(V) oxide	Nb2O5	1313-96-8	265.81	wh orth cry	1512		4.6		i H2O; s HF	
1568	Niobium(V) oxybromide	NbOBr3	14459-75-7	348.617	yel-brn cry	320 dec	subl				
1569	Niobium(V) oxychloride	NbOCl3	13597-20-1	215.263	wh tetr cry		subl	3.72			
1570	Niobium(V) dioxyfluoride	NbO2F	15195-33-2	143.903	wh cub cry			4			
1571	Nitrogen	N2	7727-37-9	28.013	col gas	-210	-195.798	1.145 g/L		sl H2O; i EtOH	
1572	Nitramide	NO2NH2	7782-94-7	62.028	unstable wh cry	72 dec				s H2O, EtOH, ace, eth; i chl	
1573	Nitric acid	HNO3	7697-37-2	63.013	col liq; hyg	-41.6	83	1.51292		vs H2O	
											
1574	Nitrous acid	HNO2	7782-77-6	47.014	stable only in soln						
1575	Nitrous oxide	N2O	10024-97-2	44.012	col gas	-90.8	-88.48	1.799 g/L		sl H2O; s EtOH, eth	
1576	Nitric oxide	NO	10102-43-9	30.006	col gas	-163.6	-151.74	1.226 g/L		sl H2O	
1577	Nitrogen dioxide	NO2	10102-44-0	46.006	brn gas; equil with N2O4		see N2O4	1.880 g/L		reac H2O	
1578	Nitrogen trioxide	N2O3	10544-73-7	76.011	blue solid or liq (low temp)	-101.1	3 dec	1.42		reac H2O	
1579	Nitrogen tetroxide	N2O4	10544-72-6	92.011	col liq; equil with NO 2	-9.3	21.15	1.452		reac H2O	
1580	Nitrogen pentoxide	N2O5	10102-03-1	108.01	col hex cry		33 sp	2		s chl; sl ctc	
1581	Nitrogen tribromide	NBr3	15162-90-0	253.719	unstable solid	exp -100					
1582	Nitrogen trichloride	NCl3	10025-85-1	120.365	yel oily liq; exp	-40	71	1.653		i H2O; s CS2, bz, ctc	
1583	Nitrogen trifluoride	NF3	7783-54-2	71.002	col gas	-206.79	-128.75	2.902 g/L		i H2O	
1584	Nitrogen triiodide	NI3	13444-85-4	394.72	unstable blk cry; exp						
1585	Nitrogen chloride difluoride	NClF2	13637-87-1	87.457	col gas	-195	-67	3.575 g/L			
1586	Chloramine	NH2Cl	10599-90-3	51.476	yel liq	-66				s H2O, EtOH, eth; sl bz, CC4l	
1587	Fluoramine	NH2F	15861-05-9	35.021	unstable gas			1.431 g/L			
1588	Difluoramine	NHF2	10405-27-3	53.012	col gas	-116	-23	2.167 g/L			
1589	cis-Difluorodiazine	N2F2	13812-43-6	66.01	col gas	<-195	-105.75	2.698 g/L			
1590	trans-Difluorodiazine	N2F2	13776-62-0	66.01	col gas	-172	-111.45	2.698 g/L			
1591	Tetrafluorohydrazine	N2F4	10036-47-2	104.007	col gas	-164.5	-74	4.251 g/L			
1592	Nitrosyl bromide	NOBr	13444-87-6	109.91	red gas	-56	0	4.492 g/L		reac H2O	
1593	Nitrosyl chloride	NOCl	2696-92-6	65.459	yel gas	-59.6	-5.5	2.676 g/L		reac H2O	
1594	Nitrosyl fluoride	NOF	7789-25-5	49.004	col gas	-132.5	-59.9	2.003 g/L			
1595	Trifluoramine oxide	NOF3	13847-65-9	87.001	col gas	-161	-87.5	3.556 g/L			
1596	Nitryl chloride	NO2Cl	13444-90-1	81.459	col gas	-145	-15	3.330 g/L			
1597	Nitryl fluoride	NO2F	10022-50-1	65.004	col gas	-166	-72.4	2.657 g/L		reac H2O	
1598	Nitrogen selenide	N4Se4	12033-88-4	371.87	red monocl cry; hyg	exp		4.2		i H2O, eth, EtOH; sl bz, CS2	
1599	Nobelium	No	10028-14-5	259	metal	827					
1600	Osmium	Os	7440-04-2	190.23	blue-wh metal; hex	3033	5012	22.59		s aqua regia	
1601	Osmium carbonyl	Os3(CO)12	15696-40-9	906.81	yel cry			3.48			
1602	Osmium(III) bromide	OsBr3	59201-51-3	429.94	dark gray cry	340 dec					
1603	Osmium(III) chloride	OsCl3	13444-93-4	296.59	gray cub cry	>450 dec				i H2O; s HNO3	
1604	Osmium(IV) chloride	OsCl4	10026-01-4	332.04	red-blk orth cry		450 sp	4.38		reac H2O	
1605	Osmium(IV) fluoride	OsF4	54120-05-7	266.22	yel cry	230					
1606	Osmium(IV) oxide	OsO2	12036-02-1	222.23	yel-brn tetr cry			11.4		i H2O, acid	
1607	Osmium(V) fluoride	OsF5	31576-40-6	285.22	blue cry	70	225.9			reac H2O	
1608	Osmium(VI) fluoride	OsF6	13768-38-2	304.22	yel cub cry	33.2	47.5	4.1		reac H2O	
1609	Osmium(VIII) oxide	OsO4	20816-12-0	254.23	yel monocl cry	41	135	5.1	6.442		
1610	Oxygen	O2	7782-44-7	31.999	col gas	-218.79	-182.953	1.308 g/L		sl H2O, EtOH, os	
1611	Ozone	O3	10028-15-6	47.998	blue gas	-193	-111.35	1.962 g/L		sl H2O	
1612	Palladium	Pd	7440-05-3	106.42	silv-wh metal; cub	1554.8	2963	12		s aqua regia	
1613	Palladium(II) sulfide	PdS	12125-22-3	138.49	gray tetr cry			6.7			
1614	Palladium(II) bromide	PdBr2	13444-94-5	266.23	red-blk monocl cry; hyg	250 dec		5.2		i H2O	
1615	Palladium(II) chloride	PdCl2	7647-10-1	177.33	red rhomb cry; hyg	679		4		s H2O, EtOH, ace	
1616	Palladium(II) fluoride	PdF2	13444-96-7	144.42	viol tetr cry; hyg	952		5.76		reac H2O	
1617	Palladium(II) iodide	PdI2	7790-38-7	360.23	blk cry	360 dec		6		i H2O, EtOH, eth	
1618	Palladium(II) nitrate	Pd(NO3)2	10102-05-3	230.43	brn hyg cry	dec				sl H2O; s dil HNO3	
1619	Palladium(II) oxide	PdO	1314-08-5	122.42	grn-blk tetr cry	750 dec		8.3		i H2O, acid; sl aqua regia	
1620	Phosphorus (white)	P	7723-14-0	30.974	col waxlike cub cry	44.15	280.5	1.823		i H2O; sl bz, EtOH, chl; s CS2	
1621	Phosphorus (red)	P	7723-14-0	30.974	red-viol amorp powder	590 tp	431 sp	2.16		i H2O, os	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1622	Phosphorus (black)	P	7723-14-0	30.974	blk orth cry or amorp solid	610		2.69		i os	
1623	Phosphine	PH3	7803-51-2	33.998	col gas; flam	-133.8	-87.75	1.390 g/L		i H2O; sl EtOH, eth	
1624	Diphosphine	P2H4	13445-50-6	65.98	col liq	-99	63.5 dec			reac H2O	
1625	Diphosphorus tetrachloride	P2Cl4	13497-91-1	203.759	col oily liq	-28	180 dec				
1626	Diphosphorus tetrafluoride	P2F4	13824-74-3	137.942	col gas	-86.5	-6.2	5.638 g/L			
1627	Diphosphorus tetraiodide	P2I4	13455-00-0	569.566	red tricl needles	125.5	dec	3.89			
1628	Phosphonium chloride	PH4Cl	24567-53-1	70.459	gas		-27 sp	2.880 g/L		reac H2O	
1629	Phosphonium iodide	PH4I	12125-09-6	161.91	col tetr cry	18.5	62.5	2.86		reac H2O, EtOH	
1630	Phosphoric acid (orthophosphoric acid)	H3PO4	7664-38-2	97.995	col visc liq	42.4	407		54820	s EtOH	
1631	Phosphonic acid (phosphorous acid)	H3PO3	13598-36-2	81.996	wh hyg cry	74.4	200	1.65	3090	vs EtOH	
1632	Phosphinic acid (hypophosphorous acid)	HPH2O2	6303-21-5	65.997	hyg cry or col oily liq	26.5	130	1.49		vs H2O, EtOH, eth	
1633	Metaphosphoric acid	HPO3	37267-86-0	79.98	gl solid; hyg					sl H2O; s EtOH	
1634	Hypophosphoric acid	H4P2O6	7803-60-3	161.976	col orth cry	73 dec				vs H2O	
1635	Diphosphoric acid (pyrophosphoric acid)	H4P2O7	2466-09-3	177.975	wh cry	71.5			70923		
1636	Difluorophosphoric acid	HPO2F2	13779-41-4	101.978	col liq	-94	110 dec	1.583		reac H2O	
1637	Hexafluorophosphoric acid	HPF6	16940-81-1	145.972	col oily liq	25 dec				reac H2O	
1638	Fluorophosphonic acid	H2PFO3	13537-32-1	99.986	col visc liq	<-70		1.82		vs H2O	
1639	Phosphorus nitride	P3N5	12136-91-3	162.955	yel-brn solid	800 dec				i H2O; s os	
1640	Phosphorus sesquisulfide	P4S3	1314-85-8	220.093	yel-grn orth cry	172.5	407	2.03		i H2O; s bz; vs CS2	
1641	Phosphorus heptasulfide	P4S7	12037-82-0	348.357	pale yel monocl cry	312	523	2.19		sl CS2	
1642	Phosphonitrilic chloride trimer	(PNCl2)3	940-71-6	347.657	wh hyg cry	128.8		1.98		reac H2O	
1643	Phosphorus(III) bromide	PBr3	7789-60-8	270.686	col liq	-41.5	173.2	2.8		reac H2O, EtOH; s ace, CS2	
1644	Phosphorus(III) dibromide fluoride	PBr2F	15597-39-4	209.78	col liq	-115	78.5				
1645	Phosphorus(III) bromide difluoride	PBrF2	15597-40-7	148.875	col gas	-133.8	-16.1	6.085 g/L			
1646	Phosphorus(III) chloride	PCl3	7719-12-2	137.332	col liq	-93.6	76.1	1.574		reac H2O, EtOH; s bz, chl, eth	
1647	Phosphorus(III) dichloride fluoride	PCl2F	15597-63-4	120.877	col gas	-144	13.85	4.941 g/L			
1648	Phosphorus(III) chloride difluoride	PClF2	14335-40-1	104.424	col gas	-164.8	-47.3	4.268 g/L			
1649	Phosphorus(III) fluoride	PF3	7783-55-3	87.969	col gas	-151.5	-101.8	3.596 g/L		reac H2O	
1650	Phosphorus(III) iodide	PI3	13455-01-1	411.687	red-oran hex cry; hyg	61.2	227 dec	4.18		reac H2O; s EtOH	
1651	Phosphorus(III) oxide	P2O3	1314-24-5	109.946	col monocl cry or liq	23.8	173	2.13		reac H2O	
1652	Tetraphosphorus(III) hexoxide	P4O6	12440-00-5	219.891	soft wh cry	23.8	175.4				
1653	Phosphorus(III) selenide	P2Se3	1314-86-9	298.83	oran-red cry	245	380	1.31		reac H2O; s bz, ctc, CS2, ace	
1654	Phosphorus(III) sulfide	P2S3	12165-69-4	158.146	yel solid	290	490			reac H2O; s EtOH, eth, CS2	
1655	Phosphorus(V) bromide	PBr5	7789-69-7	430.494	yel orth cry, Donnay	100 dec		3.61		reac H2O, EtOH; s CS2, ctc	
1656	Phosphorus(V) tetrabromide fluoride	PBr4F		369.588	pale yel cry	87 dec					
1657	Phosphorus(V) dibromide trifluoride	PBr2F3	13445-58-4	247.777	yel-red liq	-20	15 dec				
1658	Phosphorus(V) chloride	PCl5	10026-13-8	208.238	wh-yel tetr cry; hyg	167 tp	160 sp	2.1		reac H2O; s CS2, ctc	
1659	Phosphorus(V) tetrachloride fluoride	PCl4F	13498-11-8	191.783	col liq	-59	30 dec				
1660	Phosphorus(V) trichloride difluoride	PCl3F2	158704-27-9	175.329	col liq	-63					
1661	Phosphorus(V) dichloride trifluoride	PCl2F3	13454-99-4	158.874	col gas	-125	7.1	6.494 g/L			
1662	Phosphorus(V) chloride tetrafluoride	PClF4		142.421	col gas	-132	-43.4	5.821 g/L			
1663	Phosphorus(V) fluoride	PF5	7647-19-0	125.966	col gas	-93.8	-84.6	5.149 g/L		reac H2O	
1664	Phosphorus(V) oxide	P2O5	1314-56-3	141.945	wh orth cry; hyg	562	605	2.3		reac H2O, EtOH	
1665	Phosphorus(V) selenide	P2Se5	1314-82-5	456.75	blk-purp amorp solid					reac hot H2O, ctc; i CS2	
1666	Phosphorus(V) sulfide	P2S5	1314-80-3	222.278	grn-yel hyg cry	285	515	2.03		reac H2O; s CS2	
											
1667	Phosphonic difluoride	POF2H	14939-34-5	85.978	volatile liq	>-120	60 (gas unstab)				
1668	"Phosphoric tribromide (phosphoryl
bromide)"	POBr3	7789-59-5	286.685	faint oran plates	55	191.7	2.822		reac H2O; s bz, eth, chl	
1669	Phosphoric dibromide chloride	POBr2Cl	13550-31-7	242.234	yel solid	31	165				
1670	Phosphoric dibromide fluoride	POBr2F	14014-19-8	225.779	col liq	-117.2	110.1				
1671	Phosphoric bromide dichloride	POBrCl2	13455-03-3	197.782	col liq	11	136.5	2.10414			
1672	Phosphoric bromide difluoride	POBrF2	14014-18-7	164.874	col liq	-84.8	31.6				
1673	Phosphoric bromide chloride fluoride	POBrClF	14518-81-1	181.328	col liq		79				
1674	"Phosphoric trichloride (phosphoryl
chloride)"	POCl3	10025-87-3	153.331	col liq	1.18	105.5	1.645		reac H2O, EtOH	
1675	Phosphoric dichloride fluoride	POCl2F	13769-76-1	136.876	col liq	-80.1	52.9				
1676	Phosphoric chloride difluoride	POClF2	13769-75-0	120.423	col gas	-96.4	3.1	4.922 g/L			
1677	Phosphoric trifluoride (phosphoryl fluoride)	POF3	13478-20-1	103.968	col gas	-39.1 tp	-39.7 sp	4.250 g/L		reac H2O	
1678	Phosphoric triodide (phosphoryl iodide)	POI3	13455-04-4	427.686	viol cry	53					
1679	Phosphorothioc tribromide	PSBr3	3931-89-3	302.752	yel cry	37.8	212 dec	2.85			
1680	Phosphorothioc dibromide fluoride	PSBr2F	13706-10-0	241.846	yel liq	-75.2	125.3				
1681	Phosphorothioc bromide difluoride	PSBrF2	13706-09-7	180.941	yel liq	-136.9	35.5				
1682	Phosphorothioc trichloride	PSCl3	3982-91-0	169.398	fuming liq	-36.2	125	1.635		reac H2O; s bz, ctc, chl, CS2	
1683	Phosphorothioc dichloride fluoride	PSCl2F	155698-29-6	152.943	col liq	-96	64.7				
1684	Phosphorothioc chloride difluoride	PSClF2	2524-02-9	136.49	col gas	-155.2	6.3	5.579 g/L			
1685	Phosphorothioc trifluoride	PSF3	2404-52-6	120.035	col gas	-148.8	-52.25	4.906 g/L			
1686	Phosphorothioc triiodide	PSI3	63972-04-3	443.753	yel cry	48	dec				
1687	Platinum	Pt	7440-06-4	195.08	silv-gray metal; cub	1768.2	3825	21.5		i acid; s aqua regia	
1688	Platinum(II) bromide	PtBr2	13455-12-4	354.89	red-brn powder	250 dec		6.65		i H2O	
1689	Platinum(II) chloride	PtCl2	10025-65-7	265.98	grn hex cry	581 dec		6		i H2O, EtOH, eth; s HCl	
1690	Platinum(II) iodide	PtI2	7790-39-8	448.89	blk powder	325 dec		6.4		i H2O	
1691	Platinum(II) oxide	PtO	12035-82-4	211.08	blk tetr cry	325 dec		14.1		i H2O, EtOH; s aqua regia	
1692	Platinum(II) sulfide	PtS	12038-20-9	227.14	tetr cry			10.25			
1693	Platinum(III) bromide	PtBr3	25985-07-3	434.79	grn-blk cry	200 dec					
1694	Platinum(III) chloride	PtCl3	25909-39-1	301.44	grn-blk cry	435 dec		5.26			
1695	Platinum(IV) bromide	PtBr4	68938-92-1	514.69	brn-blk cry	180 dec			0.412	sl EtOH, eth	
1696	Platinum(IV) chloride	PtCl4	37773-49-2	336.89	red-brn cub cry	327 dec		4.3	14225		
1697	Platinum(IV) chloride pentahydrate	PtCl4  5H2O	13454-96-1	426.97	red cry			2.43		s H2O, EtOH	
1698	Platinum(IV) fluoride	PtF4	13455-15-7	271.07	red cry	600					
1699	Platinum(IV) iodide	PtI4	7790-46-7	702.7	brn-blk powder	130 dec				s H2O	
1700	Platinum(IV) oxide	PtO2	1314-15-4	227.08	blk hex cry	450		11.8		i H2O; s conc acid, dil alk	
1701	Platinum(IV) sulfide	PtS2	12038-21-0	259.21	hex cry			7.85			
1702	Platinum(VI) fluoride	PtF6	13693-05-5	309.07	red cub cry	61.3	69.1	4.0			
1703	cis-Diamminedichloroplatinum	Pt(NH3)2Cl2	15663-27-1	300.04	yel solid	270 dec			0.25325		
1704	trans-Diamminedichloroplatinum	Pt(NH3)2Cl2	14913-33-8	300.04	pale yel solid	270 dec			0.03625	s DMF, DMSO	
1705	Hexachloroplatinic acid hexahydrate	H2PtCl6  6H2O	16941-12-1	517.9	brn-yel hyg cry	60		2.43	14018	vs EtOH	
1706	Platinum silicide	PtSi	12137-83-6	223.16	orth cry	1229		12.4			
1707	Plutonium	Pu	7440-07-5	244	silv-wh metal; monocl	640	3228	19.7			
1708	Plutonium nitride	PuN	12033-54-4	258	gray cub cry	2550		14.4			
1709	Plutonium(II) oxide	PuO	12035-83-5	260	cub cry			14			
1710	Plutonium(III) bromide	PuBr3	15752-46-2	484	grn orth cry	681		6.75		s H2O	
1711	Plutonium(III) chloride	PuCl3	13569-62-5	350	grn hex cry	760		5.71		s H2O	
1712	Plutonium(III) fluoride	PuF3	13842-83-6	301	purp hex cry	1396		9.33		i H2O; sl acid	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1713	Plutonium(III) iodide	PuI3	13813-46-2	625	grn orth cry; hyg	777		6.92		s H2O	
1714	Plutonium(III) oxide	Pu2O3	12036-34-9	536	blk cub cry			10.5			
1715	Plutonium(IV) fluoride	PuF4	13709-56-3	320	red-brn monocl cry	1027		7.1			
1716	Plutonium(IV) oxide	PuO2	12059-95-9	276	yel-brn cub cry	2400		11.5			
1717	Plutonium(VI) fluoride	PuF6	13693-06-6	358	red-brn orth cry	52		5.08			
1718	Polonium	Po	7440-08-6	209	silv metal; cub	254	962	9.2			
1719	Polonium(IV) chloride	PoCl4	10026-02-5	351	yel hyg cry	300	390			s H2O, EtOH, ace	
1720	Polonium(IV) oxide	PoO2	7446-06-2	241	yel cub cry	500 dec		8.9			
1721	Potassium	K	7440-09-7	39.098	soft silv-wh metal; cub	63.5	759	0.89		reac H2O	
1722	Potassium acetate	KC2H3O2	127-08-2	98.142	wh hyg cry	309		1.57	26925	s EtOH; i eth	
1723	Potassium aluminate trihydrate	K2Al2O4  3H2O	12003-63-3*	250.204	wh orth cry			2.13		vs H2O; i EtOH	
1724	Potassium aluminum silicate	KAlSi3O8	1327-44-2	278.332	col monocl cry			2.56		i H2O	
1725	Potassium aluminum sulfate	KAl(SO4)2	10043-67-1	258.207	wh hyg powder				5.92		
1726	Potassium aluminum sulfate dodecahydrat	KAl(SO4)2  12H2O	7784-24-9	474.391	col cry	100 dec		1.72	5.92		
1727	Potassium amide	KNH2	17242-52-3	55.121	wh/yel-grn hyg cry	335				reac H2O, EtOH	
1728	Potassium arsenate	K3AsO4	13464-36-3	256.215	col cry			2.8	12525		
1729	Potassium arsenite	KAsO2	13464-35-2	146.019	wh hyg pow					s H2O; sl EtOH	
1730	Potassium azide	KN3	20762-60-1	81.118	tetr cry; exp			2.04	49.717		
1731	Potassium borohydride	KBH4	13762-51-1	53.941	wh cub cry	500 dec		1.11		s H2O	
1732	Potassium bromate	KBrO3	7758-01-2	167	wh hex cry	434 dec		3.27	8.1725	i EtOH	
1733	Potassium bromide	KBr	7758-02-3	119.002	col cub cry; hyg	734	1435	2.74	67.825	sl EtOH	
1734	Potassium carbonate	K2CO3	584-08-7	138.206	wh monocl cry; hyg	898	dec	2.29	111 25	i EtOH	
1735	Potassium carbonate sesquihydrate	K2CO3  1.5H2O	6381-79-9	165.229	granular cry				111 20		
1736	Potassium chlorate	KClO3	3811-04-9	122.549	wh monocl cry	368	dec	2.32	8.6125		
1737	Potassium chloride	KCl	7447-40-7	74.551	wh cub cry	771		1.988	35.525	i eth, ace	
1738	Potassium chromate	K2CrO4	7789-00-6	194.191	yel orth cry	975		2.73	65.025		
1739	Potassium cyanate	KCNO	590-28-3	81.115	wh tetr cry	700 dec		2.05	7525	sl EtOH	
1740	Potassium cyanide	KCN	151-50-8	65.116	wh cub cry; hyg	634		1.55	69.92	sl EtOH	
1741	Potassium dichromate	K2Cr2O7	7778-50-9	294.185	oran-red tricl cry	398	500 dec	2.68	15.125		
1742	Potassium dihydrogen arsenate	KH2AsO4	7784-41-0	180.034	col cry	288		2.87	196	i EtOH	
1743	Potassium dihydrogen phosphate	KH2PO4	7778-77-0	136.085	wh tetr cry	253		2.34	25.025	sl EtOH	
1744	Potassium ferricyanide	K3Fe(CN)6	13746-66-2	329.244	red cry	dec		1.89	48.825		
1745	Potassium ferrocyanide trihydrate	K4Fe(CN)6  3H2O	14459-95-1	422.388	yel monocl cry	60 dec		1.85	36.025	i EtOH, eth	
1746	Potassium fluoride	KF	7789-23-3	58.096	wh cub cry	858	1502	2.48	10225		
1747	Potassium fluoride dihydrate	KF  2H2O	13455-21-5	94.127	monocl cry	41 dec		2.5	10225		
1748	Potassium fluoroborate	KBF4	14075-53-7	125.903	col orth cry	530		2.505	0.5525	sl EtOH	
1749	Potassium fluorotantalate	K2TaF7	16924-00-8	392.134	col cry	730		5.24	0.5		
1750	Potassium formate	KCHO2	590-29-4	84.116	col hyg cry	167		1.91	33118		
1751	Potassium hexachloroosmate(IV)	K2OsCl6	16871-60-6	481.14	red cub cry					vs H2O; sl EtOH	
1752	Potassium hexachloroplatinate	K2PtCl6	16921-30-5	485.99	yel-oran cub cry	250 dec		3.5	0.772	i EtOH	
1753	Potassium hexacyanocobaltate	K3Co(CN)6	13963-58-1	332.332	yel monocl cry	dec		1.91		vs H2O; i EtOH	
1754	Potassium hexafluoromanganate(IV)	K2MnF6	16962-31-5	247.125	yel hex cry					reac H2O	
1755	Potassium hexafluorosilicate	K2SiF6	16871-90-2	220.273	wh cry	dec		2.27	0.0842	i EtOH	
1756	Potassium hexafluorozirconate(IV)	K2ZrF6	16923-95-8	283.411	col mono cry			3.48	0.782		
1757	Potassium hydride	KH	7693-26-7	40.106	cub cry			1.43		reac H2O	
											
1758	Potassium hydrogen arsenate	K2HAsO4	21093-83-4	218.125	col mono prisms	300 dec			18.76	i EtOH	
1759	Potassium hydrogen arsenite	KAsO2  HAsO2	10124-50-2	253.947	wh hyg powder					s H2O	
1760	Potassium hydrogen carbonate	KHCO3	298-14-6	100.115	col monocl cry	100 dec		2.17	36.225	i EtOH	
1761	Potassium hydrogen fluoride	KHF2	7789-29-9	78.103	col tetr cry	238.9		2.37	39.22	i EtOH	
1762	Potassium hydrogen phosphate	K2HPO4	7758-11-4	174.176	wh hyg cry	dec			16825	s EtOH	
1763	Potassium hydrogen phosphite	K2HPO3	13492-26-7	158.177	wh hyg powder	dec			17020	i EtOH	
1764	Potassium hydrogen selenite	KHSeO3	7782-70-9	167.06	hyg orth cry	>100 dec				s H2O; sl EtOH	
1765	Potassium hydrogen sulfate	KHSO4	7646-93-7	136.17	wh monocl cry; hyg	200		2.32	50.625		
1766	Potassium hydrogen sulfide	KHS	1310-61-8	72.172	wh hex cry; hyg	450		1.69		s H2O, EtOH	
1767	Potassium hydrogen sulfide hemihydrate	KHS  0.5H2O	1310-61-8*	81.179	wh-yel hyg cry	175		1.7		vs H2O, EtOH	
1768	Potassium hydrogen sulfite	KHSO3	7773-03-7	120.17	wh cry powder	190 dec			4920	i EtOH	
1769	Potassium hydrogen tartrate	KHC4H4O6	868-14-4	188.177	wh cry			1.98	0.572	s acid, alk; i EtOH	
